struct Keyword TStruct 2  
x Identifier TIdentifier 2  
{ Operator TokenType 2  
int Keyword TInt 3  
f Identifier TIdentifier 3  
; Operator TokenType 3  
} Operator TokenType 4  
; Operator TokenType 4  
int Keyword TInt 7  
main Identifier TIdentifier 7  
( Operator TLeftRoundBracket 7  
) Operator TRightRoundBracket 7  
{ Operator TokenType 8  
int Keyword TInt 10  
x Identifier TIdentifier 10  
= Operator TEqual 10  
5 Constant TIntegerConstant 10  
, Operator TComma 10  
y Identifier TIdentifier 10  
= Operator TEqual 10  
8 Constant TIntegerConstant 10  
; Operator TokenType 10  
x Identifier TIdentifier 12  
= Operator TEqual 12  
x Identifier TIdentifier 12  
< Operator TLeftArrow 12  
y Identifier TIdentifier 12  
; Operator TokenType 12  
x Identifier TIdentifier 13  
= Operator TEqual 13  
x Identifier TIdentifier 13  
== Operator TEqualEqual 13  
y Identifier TIdentifier 13  
; Operator TokenType 13  
y Identifier TIdentifier 14  
= Operator TEqual 14  
y Identifier TIdentifier 14  
!= Operator TExclaimationMarkEqual 14  
x Identifier TIdentifier 14  
; Operator TokenType 14  
x Identifier TIdentifier 15  
= Operator TEqual 15  
x Identifier TIdentifier 15  
<= Operator TLeftArrowEqual 15  
10 Constant TIntegerConstant 15  
<= Operator TLeftArrowEqual 15  
12 Constant TIntegerConstant 15  
; Operator TokenType 15  
x Identifier TIdentifier 16  
= Operator TEqual 16  
x Identifier TIdentifier 16  
>= Operator TRightArrowEqual 16  
5 Constant TIntegerConstant 16  
> Operator TRightArrow 16  
10 Constant TIntegerConstant 16  
; Operator TokenType 16  
} Operator TokenType 18  
